AccountNumber,IsShared,cluster,Holder
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,1,a1
iban1,1,2,a2
iban1,1,3,a3
iban1,1,4,a4
iban2,0,,a5
iban2,0,,a5
iban3,0,,a6
iban3,0,,a6
iban4,0,,a7
iban4,0,,a7
iban5,0,,a8
iban5,0,,a8
iban6,0,,a9
iban6,0,,a9
iban7,0,,a10
iban7,0,,a10
iban8,0,,a11
iban8,0,,a11
iban9,0,,a12
iban9,0,,a12
iban9,0,,a12
iban9,0,,a12
iban10,0,,a13
iban10,0,,a13
iban11,0,,a14
iban11,0,,a14
iban11,0,,a14
iban11,0,,a14
iban11,0,,a14
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,2,a16
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban12,1,1,a15
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban13,0,,a17
iban14,0,,a18
iban14,0,,a18
iban15,0,,a19
iban15,0,,a19
iban16,0,,a20
iban16,0,,a20
iban17,0,,a21
iban17,0,,a21
iban18,0,,a22
iban18,0,,a22
iban18,0,,a22
iban19,0,,a23
iban19,0,,a23
iban20,0,,a24
iban20,0,,a24
iban21,0,,a25
iban21,0,,a25
iban21,0,,a25
iban22,0,,a26
iban22,0,,a26
iban23,0,,a27
iban23,0,,a27
iban24,0,,a28
iban24,0,,a28
iban24,0,,a28
iban25,0,,a29
iban25,0,,a29
iban25,0,,a29
iban25,0,,a29
iban26,0,,a30
iban26,0,,a30
iban27,0,,a31
iban27,0,,a31
iban27,0,,a31
iban28,0,,a32
iban28,0,,a32
iban28,0,,a32
iban29,0,,a33
iban29,0,,a33
iban29,0,,a33
iban30,0,,a34
iban30,0,,a34
iban30,0,,a34
iban30,0,,a34
iban30,0,,a34
iban30,0,,a34
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban31,0,,a35
iban32,0,,a36
iban32,0,,a36
iban32,0,,a36
iban33,0,,a37
iban33,0,,a37
iban33,0,,a37
iban34,0,,a38
iban34,0,,a38
iban34,0,,a38
iban35,0,,a39
iban35,0,,a39
iban36,0,,a40
iban36,0,,a40
iban36,0,,a40
iban36,0,,a40
iban37,0,,a41
iban37,0,,a41
iban38,0,,a42
iban38,0,,a42
iban39,0,,a43
iban39,0,,a43
iban39,0,,a43
iban40,0,,a44
iban40,0,,a44
iban41,0,,a45
iban41,0,,a45
iban42,0,,a46
iban42,0,,a46
iban43,0,,a47
iban43,0,,a47
iban43,0,,a47
iban44,0,,a48
iban44,0,,a48
iban45,0,,a49
iban45,0,,a49
iban46,0,,a50
iban46,0,,a50
iban47,0,,a51
iban47,0,,a51
iban48,0,,a52
iban48,0,,a52
iban49,0,,a53
iban49,0,,a53
iban49,0,,a53
iban50,0,,a54
iban50,0,,a54
iban51,0,,a55
iban51,0,,a55
iban51,0,,a55
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban52,0,,a56
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban53,0,,a57
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban54,0,,a58
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban55,0,,a59
iban56,0,,a60
iban56,0,,a60
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban57,0,,a61
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban58,0,,a62
iban59,0,,a63
iban59,0,,a63
iban59,0,,a63
iban60,0,,a64
iban60,0,,a64
iban60,0,,a64
iban61,0,,a65
iban61,0,,a65
iban61,0,,a65
iban61,0,,a65
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban62,0,,a66
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban63,0,,a67
iban64,0,,a68
iban64,0,,a68
iban64,0,,a68
iban64,0,,a68
iban64,0,,a68
