,BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
0,ETDXDOKM,ES9202867263574004929475,DO,Silveira S.A.,64757987Ribeiro Jardim Atlântico,1,Silveira S.A.
1,ETDXDOKM,ES9202867263574004929475,DO,Nogueira,,1,Nogueira
2,TMXVGWYV,NL81QRAT0315379095,GW,"Grant, Nelson and Wong","03160 11744,Natalie Corners Apt. 733 Bethanyfurt",1,"Grant, Nelson and Wong"
3,TMXVGWYV,NL81QRAT0315379095,GW,"Lee, Cabrera",,1,"Lee, Cabrera and Bowman"
4,TMXVGWYV,NL81QRAT0315379095,GW,Jenkins Inc Incorporated,# #  #,1,Jenkins Inc
5,TMXVGWYV,NL81QRAT0315379095,GW,Garrison Group,,1,Garrison Group
6,ICKSUGWJ,NL08VIKN8033141332,UG,Blas Ojeda Ripoll S.r.L,,0,Blas Ojeda Ripoll S.L.L.
7,BMSFCWBI,GB97DWFO56919906311692,CW,Melo - ME,,1,Melo - ME
8,BMSFCWBI,GB97DWFO56919906311692,CW,Farias,"RR/Viaduto Ribeiro,Nazare",1,Farias
9,IQWVPRHE,NL52PONW9217513980,PR,Parkin-Baldwin,,1,Parkin-Baldwin
10,IQWVPRHE,NL52PONW9217513980,PR,"Edwards, Williams and Holmes",Sanders streets 094  Port Craig-GB,1,"Edwards, Williams and Holmes"
11,ADCLUZAY,GB78BFXC96089278510134,UZ,Blümel,,1,Blümel
12,ADCLUZAY,GB78BFXC96089278510134,UZ,Stey Döring AG,,1,Stey Döring AG
13,LIZLNCEE,GB27VCIA00710179912317,NC,Campbell Hunter,,1,Campbell-Hunter
14,LIZLNCEE,GB27VCIA00710179912317,NC,Jones - Gordon,,1,Jones-Gordon
15,IUOBNIIY,GB55XMXS76131160694820,NI,Laine,,1,Laine
16,IUOBNIIY,GB55XMXS76131160694820,NI,Potier SC,,1,Potier
17,IUOBNIIY,GB55XMXS76131160694820,NI,Pelletier,,1,Pelletier
18,EOIHMMKZ,ES5445077275490973562391,MM,"Jones,  Fitzgerald",,0,"Jones, Fitzgerald and Allen"
19,JLGAMDTK,IT44Q7943492508644558180425,MD,Instalaciones Molins y asociados S.A.,,1,Instalaciones Molins y asociados S.A.
20,JLGAMDTK,IT44Q7943492508644558180425,MD,Zamora y Nicolau S.A.,,1,Zamora y Nicolau S.A.
21,JLGAMDTK,IT44Q7943492508644558180425,MD,Transportes DUUO,Calle Wálter Gisbert 23266  Guipúzcoa ES,1,Transportes DUUO S.A.
22,JLGAMDTK,IT44Q7943492508644558180425,MD,Arteaga y Garmendia S.L.,,1,Arteaga y Garmendia S.L.
23,LRHIHMJH,ES5915258717605560764000,HM,"Taylor, Martinez Ind.  Moyer",,0,"Taylor, Martinez and Moyer"
24,ZDKRPROT,GB66POWB83003232194813,PR,Gagliardi-Gabrieli Group,Gavirate Italia,1,Gagliardi-Gabrieli Group
25,ZDKRPROT,GB66POWB83003232194813,PR,Bignardi Group,,1,Bignardi Group
26,ZDKRPROT,GB66POWB83003232194813,PR,Rocca Rubbia/S.P.A Glob.,,1,Rocca-Rubbia SPA
27,ZDKRPROT,GB66POWB83003232194813,PR,"Sonnino, Spallanzani e Gadda SPA",,1,"Sonnino, Spallanzani e Gadda SPA"
28,KBOUTDOU,IT94C8998060681726169216908,TD,Ariosto e figli,,1,Ariosto e figli
29,KBOUTDOU,IT94C8998060681726169216908,TD,Correr SPA,_,1,Correr SPA
30,PODFAWSQ,ES8810394352366213956702,AW,Talleres del Levante  S.U.,,0,Talleres del Levante S.A.
31,SKIHDJIF,DE71488732998640061579,DJ,Adam,"rue de Da Costa  502 Baron,Barn/FR",1,Adam
32,SKIHDJIF,DE71488732998640061579,DJ,Philippe Neveu et Fils,France,1,Philippe Neveu et Fils
33,TKGETHLA,GB29BPEG90266485333042,TH,Moreira Glob,,0,Moreira
34,SSCHHKGN,IT66J3136926636061392912630,HK,da Conceição,,1,da Conceição
35,SSCHHKGN,IT66J3136926636061392912630,HK,Nunes,XX  X  X,1,Nunes S.A.
36,SSCHHKGN,IT66J3136926636061392912630,HK,Teixeira.,,1,Teixeira das Neves Ltda.
37,MKQWBBEW,IT97N3931513972548091528633,BB,Lee PLCC Industries,,0,Lee LLC
38,UJLIOMMY,NL05WWJJ6516630024,OM,Emperatriz Mínguez Vigil S.Com.,,1,Emperatriz Mínguez Vigil S.Com.
39,UJLIOMMY,NL05WWJJ6516630024,OM,Manufacturas AB S.Coop.,"Pasadizo de Glauco Fuente 587,Soria-07380",1,Manufacturas AB S.Coop.
40,UJLIOMMY,NL05WWJJ6516630024,OM,Perlita Huerta Duarte S.Com.,La Coruña,1,Perlita Huerta Duarte S.Com.
41,YFPGRUHQ,NL34EEDQ3927105076,RU,Alves,avenue Gabrielle Chartier  David  David  FR,0,Alves
42,EYXKMHFA,DE27996593235530340280,MH,Logística del Mediterráneo S.L.,,1,Logística del Mediterráneo S.L.
43,EYXKMHFA,DE27996593235530340280,MH,Eva Dueñas Barral S.U.,20769Cuesta de Soraya Aller 39 PisoCeuta,1,Eva Dueñas Barral S.L.
44,IKCUMETH,NL80CXFI6926090390,ME,Beard Craig,West Ronaldville US,1,Beard-Craig
45,IKCUMETH,NL80CXFI6926090390,ME,Fernandez-Washington,United States,1,Fernandez-Washington
46,IKCUMETH,NL80CXFI6926090390,ME,Cunningham-Wood,Floresstad United States,1,Cunningham-Wood
47,GXBLDZKM,GB19AIJK00248640518332,DZ,Dobes Ptnrs,LuckenwaldeJäkelstraß Luckenwalde,0,Dobes
48,MFJLSJP2,FR2713895785043951479148804,SJ,BDO S.a.p.a. ,Rubenhof  Westerbork Westerbork NL,0,BDO
49,OWYMSAXE,DE94122049676345271445,SA,Dias Costa   ME,,0,Dias Costa - ME
50,WOLQTOW1,IT60D0731794375645741185735,TO,Gonçalves e Filhos,Brazil,1,Gonçalves e Filhos
51,WOLQTOW1,IT60D0731794375645741185735,TO,Oliveira,,1,Oliveira
52,NHLUFKXE,ES3062526909214573647250,FK,"Jones, Ortiz Ind. Mcpherson",South Joseph US,0,"Jones, Ortiz and Mcpherson"
53,ZTWKINBG,ES6058635688223470963370,IN,"Cole, Lee and Rose",,1,"Cole, Lee and Rose"
54,ZTWKINBG,ES6058635688223470963370,IN,"Brady, Smith",,1,"Brady, Smith and Moore"
55,ZTWKINBG,ES6058635688223470963370,IN,Davis Farmer,,1,Davis-Farmer
56,NKQBCAB0,FR5489460648433803100580556,CA,Caspar Preiß GmbH & Co OHG,,0,Caspar Preiß GmbH & Co. OHG
57,ADDVNOUJ,GB89XWHQ15438041618170,NO,Ficino Group,Borgo Cociarelli-Piano 0Velasca  Itaia,1,Ficino Group
58,ADDVNOUJ,GB89XWHQ15438041618170,NO,Zaguri-Mondadori e figli,Latiano Italia,1,Zaguri-Mondadori e figli
59,LUZDSLLK,GB49SAAK01836459445460,SL,Peixoto,"Praia Fernanda AzevedoRS,Vila Real 1ª Seção Brazil",0,Peixoto
60,AEBYGABW,FR0983982088662283085352097,GA,"Casellati, Trapanese e Bettoni e figli",,1,"Casellati, Trapanese e Bettoni e figli"
61,AEBYGABW,FR0983982088662283085352097,GA,Camilleri e figli,,1,Camilleri e figli
62,SEZLAZQC,ES9627827406510526059899,AZ,Vieira,,1,Vieira
63,SEZLAZQC,ES9627827406510526059899,AZ,Oliveira,Vila Madre Gertrudes 4ª Seção BR,1,Oliveira
64,SEZLAZQC,ES9627827406510526059899,AZ,Martins,,1,Martins
65,FZDUAQEB,GB95OJXX18408099103135,AQ,Ring,,0,Ring
66,JULOCWGA,FR2970301389638353242424891,CW,Sanchez,ru Bernier 381 Pages-Pages France,1,Sanchez
67,JULOCWGA,FR2970301389638353242424891,CW,Lebreton Maillet et Fils,,1,Lebreton Maillet et Fils
68,NKXDCCYD,FR8561166232030182136782034,CC,van Kuijc & van der Plas,,0,van Kuijc & van der Plas
69,UBRXVNIC,DE62864579537450806207,VN,Loredan Praga e figli,,1,Loredan-Praga e figli
70,UBRXVNIC,DE62864579537450806207,VN,Zecchini Valentino e figli,,1,Zecchini-Valentino e figli
71,UBRXVNIC,DE62864579537450806207,VN,Mantegazza-Sraffa Group,,1,Mantegazza-Sraffa Group
72,HDZBQAAP,IT94U7623918651016962122189,QA,Guillaume. S.c.a.r.l Glob,,1,Guillaume S.A.R.L.
73,HDZBQAAP,IT94U7623918651016962122189,QA,Potier Grp.,boulevard Gaudin  42 Bonnin-sur-Jacques Bonnin-sur-JacquesFrance,1,Potier
74,UNZJDOYX,GB78EOEE69165332844472,DO,Melo Comp.,,0,Melo
75,GBVYHTCY,ES5449157086787875247802,HT,"Francis, Webb and Griffiths",S2 1AXLake Susanshire,1,"Francis, Webb and Griffiths"
76,GBVYHTCY,ES5449157086787875247802,HT,Wilson-Vaughan,Teresa locks  68 Port Paulinemouth GB,1,Wilson-Vaughan
77,WZXPLSWE,DE74773082570850311921,LS,"Taylor, Porter and Shah","Brown vist  813 South Denis,United Kingdom",1,"Taylor, Porter and Shah"
78,WZXPLSWE,DE74773082570850311921,LS,Taylor,,1,Taylor and Sons
79,EDFJCUEE,NL94GXET4675438365,CU,Construcción Cabañas & Asociados S.L.,Spain,1,Construcción Cabañas & Asociados S.L.
80,EDFJCUEE,NL94GXET4675438365,CU,Loreto Abril Vargas S.L.,Valencia Spain,1,Loreto Abril Vargas S.L.
81,EDFJCUEE,NL94GXET4675438365,CU,Armengol y Palomar S.Coop.,,1,Armengol y Palomar S.Coop.
