,BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
0,HMHGETBZ,NL71BNUZ6616215301,ET,Wulff GmbH & Co. KGaA,Germany,1,Wulff GmbH & Co. KGaA
1,HMHGETBZ,NL71BNUZ6616215301,ET,Hentschel OHG mbH,,1,Hentschel OHG mbH
2,XTSNCMPS,ES9552421540833026649415,CM,Ribeiro S/A,,0,Ribeiro S/A
3,XTSNCMPS,ES9552421540833026649415,CM,Ribeiro S/A S.c.,,0,Ribeiro S/A
4,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese-Pizzo e figli,,0,Gremese-Pizzo e figli
5,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli .S.C.A.R.L.,,0,Gremese-Pizzo e figli
6,LLLHLSQY,IT53F6270673995570538571984,LS,"Gremese  Pizzo e,figli S.C.A.R.L.",,0,Gremese-Pizzo e figli
7,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese  Pizzo e figli .,Piano 7  Strada Rosa Savelli,0,Gremese-Pizzo e figli
8,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese- Pizzo e figli S.C.A.R.L,Savelli IT,0,Gremese-Pizzo e figli
9,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli-,,0,Gremese-Pizzo e figli
10,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli S.c.a.r.l.,,0,Gremese-Pizzo e figli
11,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli S.c.a.r.l.,,0,Gremese-Pizzo e figli
12,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli,Strada Rosa Piano 7 Savelli (KR) Italia,0,Gremese-Pizzo e figli
13,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli,.,0,Gremese-Pizzo e figli
14,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo-e figli. S.c.a.r.l,Savelli,0,Gremese-Pizzo e figli
15,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli - S.C.A.R.L,88825 Savelli,0,Gremese-Pizzo e figli
16,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli,,0,Gremese-Pizzo e figli
17,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli,Strada Rosa Piano 7-Savelli KR  Italia,0,Gremese-Pizzo e figli
18,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli S.C.A.R.L.,,0,Gremese-Pizzo e figli
19,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese. Pizzo e figli S.C.A.R.L.,Strada Rosa  Piano 7  Savelli (KR)/Italia,0,Gremese-Pizzo e figli
20,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli,,0,Gremese-Pizzo e figli
21,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli,,0,Gremese-Pizzo e figli
22,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese- Pizzo e figli,-- --,0,Gremese-Pizzo e figli
23,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli .,,0,Gremese-Pizzo e figli
24,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli S.c.a.r.l,,0,Gremese-Pizzo e figli
25,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo.e figli,,0,Gremese-Pizzo e figli
26,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli SCARL,,0,Gremese-Pizzo e figli
27,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e figli S.C.A.R.L.,,0,Gremese-Pizzo e figli
28,LLLHLSQY,IT53F6270673995570538571984,LS,Gremese Pizzo e  - figli. S.C.A.R.L,,0,Gremese-Pizzo e figli
29,PNEHMTQJ,NL83JRTP7038191495,MT,"Alexander, Tomlinson and Carter",,0,"Alexander, Tomlinson and Carter"
30,PNEHMTQJ,NL83JRTP7038191495,MT,"AlexIndustrieser, Tomlinson Industries Carter",M3 1XY Stokesview,0,"Alexander, Tomlinson and Carter"
31,PNEHMTQJ,NL83JRTP7038191495,MT,"AlexIndustrieser, Tomlinson Industries Carter",,0,"Alexander, Tomlinson and Carter"
32,KZTESZBM,IT96W7771350738780587954698,SZ,Reichmann GmbH & Co. KG,,1,Reichmann GmbH & Co. KG
33,KZTESZBM,IT96W7771350738780587954698,SZ,Reichmann GmbH &,,1,Reichmann GmbH & Co. KG
34,KZTESZBM,IT96W7771350738780587954698,SZ,Reichmann GmbH Comp. KG,39126Kassel,1,Reichmann GmbH & Co. KG
35,KZTESZBM,IT96W7771350738780587954698,SZ,Reichmann GmbH & Co. KG,,1,Reichmann GmbH & Co. KG
36,KZTESZBM,IT96W7771350738780587954698,SZ,"Reichmann,GmbH & KG",,1,Reichmann GmbH & Co. KG
37,KZTESZBM,IT96W7771350738780587954698,SZ,Reichmann GmbH,39126 Kassel,1,Reichmann GmbH & Co. KG
38,KZTESZBM,IT96W7771350738780587954698,SZ,Weinhold Höfig AG,,1,Weinhold Höfig AG
39,KZTESZBM,IT96W7771350738780587954698,SZ,Krebs GmbH & Co. KG,82305-Vilsbiburg,1,Krebs GmbH & Co. KG
40,KZTESZBM,IT96W7771350738780587954698,SZ,"Krebs,GmbH",,1,Krebs GmbH & Co. KG
41,KZTESZBM,IT96W7771350738780587954698,SZ,Krebs GmbH &,,1,Krebs GmbH & Co. KG
42,KZTESZBM,IT96W7771350738780587954698,SZ,Krebs GmbH & KG,,1,Krebs GmbH & Co. KG
43,KZTESZBM,IT96W7771350738780587954698,SZ,Krebs GmbH & Company,Putzplatz Vilsbiburg/Vilsbiburg DE,1,Krebs GmbH & Co. KG
44,KZTESZBM,IT96W7771350738780587954698,SZ,Krebs GmbH & KG,,1,Krebs GmbH & Co. KG
45,KZTESZBM,IT96W7771350738780587954698,SZ,Krebs GmbH & Co. KG,,1,Krebs GmbH & Co. KG
46,KZTESZBM,IT96W7771350738780587954698,SZ,Krebs GmbH & KG,,1,Krebs GmbH & Co. KG
