BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
KCFFKRHB,DE02076870460115154458,KR,Bauer-Hall,Newmanshire US,1,Bauer-Hall
KCFFKRHB,DE02076870460115154458,KR,Fry-Bailey,Katrina Rue  69373195  East Miguelburgh/United States,1,Fry-Bailey
KCFFKRHB,DE02076870460115154458,KR,Fry Bailey,,1,Fry-Bailey
KCFFKRHB,DE02076870460115154458,KR,Fry. Bailey,"Karina Rue693 73195  East Mguelburgh,WV/United States",1,Fry-Bailey
KCFFKRHB,DE02076870460115154458,KR,Fry Bailey,,1,Fry-Bailey
KCFFKRHB,DE02076870460115154458,KR,Fry Bailey,East Miguelburgh United States,1,Fry-Bailey
KCFFKRHB,DE02076870460115154458,KR,Fry Bailey,United States,1,Fry-Bailey
KCFFKRHB,DE02076870460115154458,KR,"Thomas, Vega and Ramos",,1,"Thomas, Vega and Ramos"
GZCUSBJS,FR9290511785217485863903711,SB,Wright PLC,S5P 4LP Robetsberg,0,Wright PLC
GZCUSBJS,FR9290511785217485863903711,SB,Wright,,0,Wright PLC
GZCUSBJS,FR9290511785217485863903711,SB,Wright,,0,Wright PLC
GZCUSBJS,FR9290511785217485863903711,SB,Wright Public,,0,Wright PLC
GZCUSBJS,FR9290511785217485863903711,SB,Wright P.L.C.,,0,Wright PLC
GZCUSBJS,FR9290511785217485863903711,SB,Wright Public Ltd.,X  X,0,Wright PLC
JMDCVERU,GB56HBEE87995444008368,VE,Hnos Gutierrez S.Coop.,45905  Alameda de Aníbal Torre-Albacete,1,Hnos Gutierrez S.Coop.
JMDCVERU,GB56HBEE87995444008368,VE,Hnos Gutierrez S.Coop.,,1,Hnos Gutierrez S.Coop.
JMDCVERU,GB56HBEE87995444008368,VE,Eusebio Fábregas Iñiguez S.Com.,Via de Marc Valero 29564/Palencia  Spain,1,Eusebio Fábregas Iñiguez S.Com.
JMDCVERU,GB56HBEE87995444008368,VE,Eusebio .Fábregas Iñiguez,,1,Eusebio Fábregas Iñiguez S.Com.
JMDCVERU,GB56HBEE87995444008368,VE,Finanzas Roig y asociados S.L.,,1,Finanzas Roig y asociados S.L.
JMDCVERU,GB56HBEE87995444008368,VE,Comercializadora ZOEZ S.A.U,,1,Comercializadora ZOEZ S.A.U
MVNDVNI0,NL66ZCFL5449804987,VN,da Costa - ME,,1,da Costa - ME
MVNDVNI0,NL66ZCFL5449804987,VN,da.Costa - ME Cpn.,,1,da Costa - ME
MVNDVNI0,NL66ZCFL5449804987,VN,S.a .Costa   ME Corp.,,1,da Costa - ME
MVNDVNI0,NL66ZCFL5449804987,VN,da Costa-  ME Corp,,1,da Costa - ME
MVNDVNI0,NL66ZCFL5449804987,VN,S.a Costa   ME Corp.,Cidade Jardim Brazil,1,da Costa - ME
MVNDVNI0,NL66ZCFL5449804987,VN,Costa Ltda.,Estrada Natália Cardoso/RN Nossa Senhora De Fátima Brazil,1,Costa Ltda.
