,BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
0,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta & Asociados S.Com.,"Pasaje de Cruz Montalbán 74  Zaragoza,26773",1,Farmaceútica Vilalta & Asociados S.Com.
1,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica. Vilalta &.Asociados S.Com.,,1,Farmaceútica Vilalta & Asociados S.Com.
2,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta &- Asociados S.Com.,Zaragoza,1,Farmaceútica Vilalta & Asociados S.Com.
3,QSCUBQVX,ES2994596053889543542329,BQ,"Farmaceútica Vilalta,& Asociados S.Com.",Pasaje de Cruz Montalbán 74-Zaragoza  26773,1,Farmaceútica Vilalta & Asociados S.Com.
4,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica-Vilalta Asociados S.Com.,Pasaje de Cruz Montalbán 26773-Zaagoza-pain,1,Farmaceútica Vilalta & Asociados S.Com.
5,QSCUBQVX,ES2994596053889543542329,BQ,"Farmaceútica Vilalta & Asociados,S.Com.",Pasaje de Cruz Montalbán74 Zaragoz  26773,1,Farmaceútica Vilalta & Asociados S.Com.
6,QSCUBQVX,ES2994596053889543542329,BQ,"Farmaceútica-Vilalta  &.Asociados,S.Com.",&& &,1,Farmaceútica Vilalta & Asociados S.Com.
7,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta &- Asociados S.Com.,,1,Farmaceútica Vilalta & Asociados S.Com.
8,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta &/Asociados S.Com.,,1,Farmaceútica Vilalta & Asociados S.Com.
9,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica- Vilalta &/S.Com.,Zaragoza,1,Farmaceútica Vilalta & Asociados S.Com.
10,QSCUBQVX,ES2994596053889543542329,BQ,"Farmaceútica Vilalta &,Asociados,S.Com.",,1,Farmaceútica Vilalta & Asociados S.Com.
11,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta Asociados S.Com.,,1,Farmaceútica Vilalta & Asociados S.Com.
12,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta & - Asociados S.Com.,,1,Farmaceútica Vilalta & Asociados S.Com.
13,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta- & Asociados S.Com.,Pasaje de Cruz Montalbán  26773-Zaragoza ES,1,Farmaceútica Vilalta & Asociados S.Com.
14,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta. & Asociados S.Com.,Zaragoza Spain,1,Farmaceútica Vilalta & Asociados S.Com.
15,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta & Asociados S.Com.,,1,Farmaceútica Vilalta & Asociados S.Com.
16,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica-Vilalta & - Asociados,,1,Farmaceútica Vilalta & Asociados S.Com.
17,QSCUBQVX,ES2994596053889543542329,BQ,Farmaceútica Vilalta - & - Asociados S.Com.,,1,Farmaceútica Vilalta & Asociados S.Com.
18,QSCUBQVX,ES2994596053889543542329,BQ,Plana y Tena S.L.L.,,1,Plana y Tena S.L.L.
19,QSCUBQVX,ES2994596053889543542329,BQ,Plana y Tena,,1,Plana y Tena S.L.L.
20,QSCUBQVX,ES2994596053889543542329,BQ,Plana y Tena S.R.L.,,1,Plana y Tena S.L.L.
21,QSCUBQVX,ES2994596053889543542329,BQ,Plana y  Tena S.R.L.,,1,Plana y Tena S.L.L.
22,QSCUBQVX,ES2994596053889543542329,BQ,Plana y Tena,Girona ES,1,Plana y Tena S.L.L.
23,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Groep,,0,Schellekens Groep
24,HRQRAIBJ,DE63924195712387121980,AI,Schellekens,,0,Schellekens Groep
25,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Gr.,Nomilaan/Wyns Wys  NL,0,Schellekens Groep
26,HRQRAIBJ,DE63924195712387121980,AI,"Schellekens,",,0,Schellekens Groep
27,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Gp.,,0,Schellekens Groep
28,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Gp.,,0,Schellekens Groep
29,HRQRAIBJ,DE63924195712387121980,AI,Schellekens,,0,Schellekens Groep
30,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Grp,Wyns NL,0,Schellekens Groep
31,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Grp,,0,Schellekens Groep
32,HRQRAIBJ,DE63924195712387121980,AI,Schellekens/,"Naomilaan,Wyns-Wyns Netherlands",0,Schellekens Groep
33,HRQRAIBJ,DE63924195712387121980,AI,Schellekens,,0,Schellekens Groep
34,HRQRAIBJ,DE63924195712387121980,AI,Schellekens-Gr.,Wyns Netherlands,0,Schellekens Groep
35,HRQRAIBJ,DE63924195712387121980,AI,Schellekens,Naomilaan  345 2357 MAWyns,0,Schellekens Groep
36,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Gr.,Naomilaan Wyns Wns NL,0,Schellekens Groep
37,HRQRAIBJ,DE63924195712387121980,AI,Schellekens,,0,Schellekens Groep
38,HRQRAIBJ,DE63924195712387121980,AI,Schellekens Grp,XX X,0,Schellekens Groep
39,HRQRAIBJ,DE63924195712387121980,AI,Schellekens - Grp,- -  -,0,Schellekens Groep
40,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista S.L.L.,,0,Hermanos Bautista S.L.L.
41,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista SRL,,0,Hermanos Bautista S.L.L.
42,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,,0,Hermanos Bautista S.L.L.
43,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,,0,Hermanos Bautista S.L.L.
44,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,,0,Hermanos Bautista S.L.L.
45,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,,0,Hermanos Bautista S.L.L.
46,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,05511-Córdoba,0,Hermanos Bautista S.L.L.
47,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,,0,Hermanos Bautista S.L.L.
48,COGYFIDD,NL83GFZM3710441100,FI,Hermanos  Bautista,Córdoba ES,0,Hermanos Bautista S.L.L.
49,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,,0,Hermanos Bautista S.L.L.
50,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,Córdoba Spain,0,Hermanos Bautista S.L.L.
51,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista-SRL,,0,Hermanos Bautista S.L.L.
52,COGYFIDD,NL83GFZM3710441100,FI,Hermanos Bautista,Córdoba Spain,0,Hermanos Bautista S.L.L.
53,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Co. KGaA,,0,Kusch Mälzer Stiftung & Co. KGaA
54,JSFKGMVC,NL67OTLQ4246093278,GM,"Kusch Mälzer,Stiftung Co KGaA",,0,Kusch Mälzer Stiftung & Co. KGaA
55,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Co. KGaA,Regen,0,Kusch Mälzer Stiftung & Co. KGaA
56,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung &. KGaA,Davidsweg Rege  Regen Germany,0,Kusch Mälzer Stiftung & Co. KGaA
57,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung &,Regen  DavidswegRegen,0,Kusch Mälzer Stiftung & Co. KGaA
58,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Comp. KGaA,43124 Regen,0,Kusch Mälzer Stiftung & Co. KGaA
59,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer & Co KGaA,Regen/Davidsweg Regen,0,Kusch Mälzer Stiftung & Co. KGaA
60,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer  Stiftung,.  ..,0,Kusch Mälzer Stiftung & Co. KGaA
61,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer  Stiftung.& Co KGaA,"Davidsweg,Regen-Regen/Germany",0,Kusch Mälzer Stiftung & Co. KGaA
62,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Comp. KGaA,,0,Kusch Mälzer Stiftung & Co. KGaA
63,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung &,,0,Kusch Mälzer Stiftung & Co. KGaA
64,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer.Stiftung &,Regen Germany,0,Kusch Mälzer Stiftung & Co. KGaA
65,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Comp. KGaA,"Davidsweg  Regen  Regen,Germany",0,Kusch Mälzer Stiftung & Co. KGaA
66,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer & Co. KGaA,Gemany,0,Kusch Mälzer Stiftung & Co. KGaA
67,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Co. KGaA,,0,Kusch Mälzer Stiftung & Co. KGaA
68,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung &,,0,Kusch Mälzer Stiftung & Co. KGaA
69,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung &,,0,Kusch Mälzer Stiftung & Co. KGaA
70,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer & Company KGaA,,0,Kusch Mälzer Stiftung & Co. KGaA
71,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & KGaA,,0,Kusch Mälzer Stiftung & Co. KGaA
72,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung &,,0,Kusch Mälzer Stiftung & Co. KGaA
73,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch- Mälzer.Stiftung &,,0,Kusch Mälzer Stiftung & Co. KGaA
74,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch - Mälzer Stiftung & Co KGaA,,0,Kusch Mälzer Stiftung & Co. KGaA
75,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung,,0,Kusch Mälzer Stiftung & Co. KGaA
76,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Company KGaA,,0,Kusch Mälzer Stiftung & Co. KGaA
77,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer & Co. KGaA,Reen DE,0,Kusch Mälzer Stiftung & Co. KGaA
78,JSFKGMVC,NL67OTLQ4246093278,GM,"Kusch Mälzer,Stiftung & Co KGaA",Regen DE,0,Kusch Mälzer Stiftung & Co. KGaA
79,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Co KGaA,Regen Germany,0,Kusch Mälzer Stiftung & Co. KGaA
80,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch Mälzer Stiftung & Comp. KGaA,Davidsweg-Regen-Regen  Germany,0,Kusch Mälzer Stiftung & Co. KGaA
81,JSFKGMVC,NL67OTLQ4246093278,GM,Kusch- Mälzer &,,0,Kusch Mälzer Stiftung & Co. KGaA
82,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King and Hill",,0,"Hill, King and Hill"
83,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King Inds .Hill",,0,"Hill, King and Hill"
84,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King",Clarketon United Kingdom,0,"Hill, King and Hill"
85,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill,.King Ind. Hill",Martin fork Clarketon,0,"Hill, King and Hill"
86,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King  Industries",,0,"Hill, King and Hill"
87,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King Inds..Hill",,0,"Hill, King and Hill"
88,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King",Martin fork Clarketon-United Kingdom,0,"Hill, King and Hill"
89,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King",,0,"Hill, King and Hill"
90,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King Ind. Hill","Martin fork,Clarketon/Unied Kingdom",0,"Hill, King and Hill"
91,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King Hill",,0,"Hill, King and Hill"
92,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill,/King",,0,"Hill, King and Hill"
93,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King",,0,"Hill, King and Hill"
94,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King Industries Hill",,0,"Hill, King and Hill"
95,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King Inds.  Hill",N5 4TJ Clarketon,0,"Hill, King and Hill"
96,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill,  .King",Clarketon GB,0,"Hill, King and Hill"
97,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King",,0,"Hill, King and Hill"
98,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King Hill",N5 4TJ/Clarketon,0,"Hill, King and Hill"
99,BKPYMXCR,GB78MFQX50774908032988,MX,"Hill, King",Clarketon,0,"Hill, King and Hill"
100,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence-Johnson,,0,Lawrence-Johnson
101,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,,0,Lawrence-Johnson
102,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence  Johnson,Miller Cov 47472 59283/New Craiburgh  United States,0,Lawrence-Johnson
103,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,,0,Lawrence-Johnson
104,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson.,X X,0,Lawrence-Johnson
105,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson Global,,0,Lawrence-Johnson
106,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson-Global,,0,Lawrence-Johnson
107,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence - Johnson Global,United States,0,Lawrence-Johnson
108,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,&  &,0,Lawrence-Johnson
109,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence  Johnson-Global,,0,Lawrence-Johnson
110,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,,0,Lawrence-Johnson
111,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson Global,,0,Lawrence-Johnson
112,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,New Craigburgh United States,0,Lawrence-Johnson
113,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence.Johnson,,0,Lawrence-Johnson
114,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,,0,Lawrence-Johnson
115,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson Glob.,,0,Lawrence-Johnson
116,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson Global,,0,Lawrence-Johnson
117,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,,0,Lawrence-Johnson
118,TBCRBZGD,IT35Y5454869392489126715749,BZ,"Lawrence Johnson,Glob.",United States,0,Lawrence-Johnson
119,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson/,,0,Lawrence-Johnson
120,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson Global,"47472 59283  Miller Cove,New Craigburgh",0,Lawrence-Johnson
121,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,,0,Lawrence-Johnson
122,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,New Craigburgh,0,Lawrence-Johnson
123,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson Global,,0,Lawrence-Johnson
124,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence  Johnson,,0,Lawrence-Johnson
125,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson Glob.,Miller Cove 47472 59283 New Craigburgh  MDUS,0,Lawrence-Johnson
126,TBCRBZGD,IT35Y5454869392489126715749,BZ,Lawrence Johnson,New Craigburgh US,0,Lawrence-Johnson
127,GKFNUYLE,GB11BQBX02076197175822,UY,Herrmann Schulz e.V.,Pohlgasse 66 52069 Snkt Goarshausen,0,Herrmann Schulz e.V.
128,GKFNUYLE,GB11BQBX02076197175822,UY,Herrmann. Schulz - e.V.,,0,Herrmann Schulz e.V.
129,GKFNUYLE,GB11BQBX02076197175822,UY,Herrmann/Schulz,52069 Sankt Goarshausen,0,Herrmann Schulz e.V.
130,GKFNUYLE,GB11BQBX02076197175822,UY,"Herrmann .Schulz,e.V.",,0,Herrmann Schulz e.V.
131,GKFNUYLE,GB11BQBX02076197175822,UY,Herrmann.Schulz.e.V.,"Pohlgasse 66 52069,Sankt Goarshausen",0,Herrmann Schulz e.V.
