BIC,AccountNumber,CTRYbnk,Name,Address,IsShared,Holder
CUPQKNKA,IT61I6429599620977111885069,KN,Ford Ltd,,0,Ford Ltd
CUPQKNKA,IT61I6429599620977111885069,KN,Ford,,0,Ford Ltd
CUPQKNKA,IT61I6429599620977111885069,KN,Ford Ltd,,0,Ford Ltd
CUPQKNKA,IT61I6429599620977111885069,KN,Ford Ltd SNC,,0,Ford Ltd
CUPQKNKA,IT61I6429599620977111885069,KN,Ford Ltd S.N.C,##,0,Ford Ltd
NMBUAXLX,IT43G2927791228315140712602,AX,Smith-Collins,,0,Smith-Collins
NMBUAXLX,IT43G2927791228315140712602,AX,Smith- Collins Cpn.,Jonathon Extension 340 76583  Phillipsside NJ United States,0,Smith-Collins
NMBUAXLX,IT43G2927791228315140712602,AX,Smith/Collins,,0,Smith-Collins
NMBUAXLX,IT43G2927791228315140712602,AX,Smith Collins,,0,Smith-Collins
MWVQMXWP,IT58H6459279783987485575068,MX,Römer GmbH & Co. KG,,1,Römer GmbH & Co. KG
MWVQMXWP,IT58H6459279783987485575068,MX,Römer GmbH-& KG,Wilmsenplatz 456 15192Sondershausen,1,Römer GmbH & Co. KG
MWVQMXWP,IT58H6459279783987485575068,MX,Römer GmbH & Co KG,Germany,1,Römer GmbH & Co. KG
MWVQMXWP,IT58H6459279783987485575068,MX,Römer GmbH &,,1,Römer GmbH & Co. KG
MWVQMXWP,IT58H6459279783987485575068,MX,Römer GmbH & KG,,1,Römer GmbH & Co. KG
MWVQMXWP,IT58H6459279783987485575068,MX,Römer GmbH & Comp. KG,,1,Römer GmbH & Co. KG
MWVQMXWP,IT58H6459279783987485575068,MX,Renner Seidel AG & Co. OHG,,1,Renner Seidel AG & Co. OHG
NUWNSDIT,GB23LLFZ47580193352890,SD,Toldo-Foconi SPA,,0,Toldo-Foconi SPA
NUWNSDIT,GB23LLFZ47580193352890,SD,"Toldo Foconi SPA,",,0,Toldo-Foconi SPA
NUWNSDIT,GB23LLFZ47580193352890,SD,"Toldo Foconi,",,0,Toldo-Foconi SPA
NUWNSDIT,GB23LLFZ47580193352890,SD,Toldo Foconi,Vicolo Adelasia  Appartamento 1/Torino Itali,0,Toldo-Foconi SPA
TTNWMQK1,NL02HSKV9930489128,MQ,Eberth,,1,Eberth
TTNWMQK1,NL02HSKV9930489128,MQ,Eberth,,1,Eberth
TTNWMQK1,NL02HSKV9930489128,MQ,Eberth,,1,Eberth
TTNWMQK1,NL02HSKV9930489128,MQ,Eberth Gp.,,1,Eberth
TTNWMQK1,NL02HSKV9930489128,MQ,Eberth. Group,,1,Eberth
TTNWMQK1,NL02HSKV9930489128,MQ,Eberth Group,,1,Eberth
TTNWMQK1,NL02HSKV9930489128,MQ,Werner GmbH,,1,Werner GmbH
TTNWMQK1,NL02HSKV9930489128,MQ,"Werner,GmbH",,1,Werner GmbH
TTNWMQK1,NL02HSKV9930489128,MQ,Werner GmbH Corp,Gerhart-Stahr-Gasse Torgau Torgau Germany,1,Werner GmbH
TTNWMQK1,NL02HSKV9930489128,MQ,Bonbach,,1,Bonbach
GOTKNAYI,DE05533088786325385784,NA,Campbell LLC,Fordberg US,1,Campbell LLC
GOTKNAYI,DE05533088786325385784,NA,Martinez-Walters,,1,Martinez-Walters
GOTKNAYI,DE05533088786325385784,NA,Franklin-Smith,Lake Mark US,1,Franklin-Smith
GOTKNAYI,DE05533088786325385784,NA,"Franklin,Smith Gp.",,1,Franklin-Smith
TKMMSMXM,GB41YBEB39832636861780,SM,Faivre,,0,Faivre
TKMMSMXM,GB41YBEB39832636861780,SM,Faivre SA,,0,Faivre
TKMMSMXM,GB41YBEB39832636861780,SM,Faivre S.a.,boulevard Marchal  94422/Valentin-sur-Raymond,0,Faivre
HDWKJPLB,NL95ROBS3414314666,JP,Tschentscher,..  .,1,Tschentscher
HDWKJPLB,NL95ROBS3414314666,JP,Tschentscher,,1,Tschentscher
KSMBAGAT,ES5427005677502851321002,AG,"Schiavo, Ricciardi e Barillaro s.r.l.",*,0,"Schiavo, Ricciardi e Barillaro s.r.l."
KSMBAGAT,ES5427005677502851321002,AG,"Schiavo, Ricciardi e Barillaro S.r.l.",,0,"Schiavo, Ricciardi e Barillaro s.r.l."
EBWYGRAB,GB62GDHJ21147456451277,GR,Hornich,,0,Hornich
